user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,Only_hashtag
StonkKing4,Wall Street,"You're a leaf in the wind. You don't get to decide if you blow east or west.
   ----   https://t.co/Xrrb4816P8 ---- @stonkking4.bsky.social",,1752,92,33155,False,2025-05-06,tsla suddenly spontaneously decides to erupt in flames tesla cult member lucky car wasnt parked in garage #teslafires,['TeslaFires'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,#teslafires
Beefeater_Fella,Bletchley Park,🇬🇧 Beefeater 🇬🇧 #NAFO #Fella 🇺🇦 The Guardian of Facts 🫶 plɹoM uʍop ǝpısdn uɐ uı uoıʇɐɯɹoɟuısıp ɹǝʇunoɔ puɐ sʍǝıΛ 'sʍǝN 👁️,,31308,9211,36606,False,2025-05-07,ken and his sherman vrs a #tesla and fascism,['Tesla'],"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False,#tesla
MAGACult2,USA,We locked ourselves in the MAGA echo chamber for 8 yrs. They're brainwashed. We proved it. Find us over on the new site! #USDemocracy,,160168,8950,17066,False,2025-05-07,europes not just watchingtheyre walking #boycotttrump is exploding shelves with american products sit full while the world downloads apps to avoid buying anything tied to this clowns empire of greed tesla coke mickey dsrotting like his brain the worlds done with fascism #silentriot #mcsn,"['BoycottTrump', 'SilentRiot', 'MCSN']","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,#boycotttrump
MAGACult2,USA,We locked ourselves in the MAGA echo chamber for 8 yrs. They're brainwashed. We proved it. Find us over on the new site! #USDemocracy,,160168,8950,17066,False,2025-05-07,europes not just watchingtheyre walking #boycotttrump is exploding shelves with american products sit full while the world downloads apps to avoid buying anything tied to this clowns empire of greed tesla coke mickey dsrotting like his brain the worlds done with fascism #silentriot #mcsn,"['BoycottTrump', 'SilentRiot', 'MCSN']","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,#silentriot
MAGACult2,USA,We locked ourselves in the MAGA echo chamber for 8 yrs. They're brainwashed. We proved it. Find us over on the new site! #USDemocracy,,160168,8950,17066,False,2025-05-07,europes not just watchingtheyre walking #boycotttrump is exploding shelves with american products sit full while the world downloads apps to avoid buying anything tied to this clowns empire of greed tesla coke mickey dsrotting like his brain the worlds done with fascism #silentriot #mcsn,"['BoycottTrump', 'SilentRiot', 'MCSN']","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,#mcsn
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,2025-05-04,breaking is now the #1 news app on the appstore in qatar,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,#1
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,2025-05-08,breaking is now the #1 news app on the appstore in el salvador,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,#1
CryptoZykee,,"NFTs & Crypto | Shillmaster | Community Builder | Boost your crypto project with us. Masters of crypto, digital finance and Web 3.0 news with analysis",,346734,12814,7944,False,2025-05-07,were about to unleash a free opensource energy design that works anywhere no sun no wind no rivers just powerclean scalable and unstoppable this is for the people for our son and for every visionarylike nikola teslawho got shut down by the greed of jp morgan oh and one more thing we just tested our waveboxa waterpowered beast of a machine 30 dual turbines 864 kwhday no sun no wind no bs just pure relentless energy from water motion power your home power your business clean infinite real this isnt theory its tested scalable ready to disrupt lets power the peoplenot the system #freeenergy #opensourcerevolution #wavebox #powertothepeople,"['FreeEnergy', 'OpenSourceRevolution', 'WaveBox', 'PowerToThePeople']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,#freeenergy
CryptoZykee,,"NFTs & Crypto | Shillmaster | Community Builder | Boost your crypto project with us. Masters of crypto, digital finance and Web 3.0 news with analysis",,346734,12814,7944,False,2025-05-07,were about to unleash a free opensource energy design that works anywhere no sun no wind no rivers just powerclean scalable and unstoppable this is for the people for our son and for every visionarylike nikola teslawho got shut down by the greed of jp morgan oh and one more thing we just tested our waveboxa waterpowered beast of a machine 30 dual turbines 864 kwhday no sun no wind no bs just pure relentless energy from water motion power your home power your business clean infinite real this isnt theory its tested scalable ready to disrupt lets power the peoplenot the system #freeenergy #opensourcerevolution #wavebox #powertothepeople,"['FreeEnergy', 'OpenSourceRevolution', 'WaveBox', 'PowerToThePeople']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,#opensourcerevolution
CryptoZykee,,"NFTs & Crypto | Shillmaster | Community Builder | Boost your crypto project with us. Masters of crypto, digital finance and Web 3.0 news with analysis",,346734,12814,7944,False,2025-05-07,were about to unleash a free opensource energy design that works anywhere no sun no wind no rivers just powerclean scalable and unstoppable this is for the people for our son and for every visionarylike nikola teslawho got shut down by the greed of jp morgan oh and one more thing we just tested our waveboxa waterpowered beast of a machine 30 dual turbines 864 kwhday no sun no wind no bs just pure relentless energy from water motion power your home power your business clean infinite real this isnt theory its tested scalable ready to disrupt lets power the peoplenot the system #freeenergy #opensourcerevolution #wavebox #powertothepeople,"['FreeEnergy', 'OpenSourceRevolution', 'WaveBox', 'PowerToThePeople']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,#wavebox
CryptoZykee,,"NFTs & Crypto | Shillmaster | Community Builder | Boost your crypto project with us. Masters of crypto, digital finance and Web 3.0 news with analysis",,346734,12814,7944,False,2025-05-07,were about to unleash a free opensource energy design that works anywhere no sun no wind no rivers just powerclean scalable and unstoppable this is for the people for our son and for every visionarylike nikola teslawho got shut down by the greed of jp morgan oh and one more thing we just tested our waveboxa waterpowered beast of a machine 30 dual turbines 864 kwhday no sun no wind no bs just pure relentless energy from water motion power your home power your business clean infinite real this isnt theory its tested scalable ready to disrupt lets power the peoplenot the system #freeenergy #opensourcerevolution #wavebox #powertothepeople,"['FreeEnergy', 'OpenSourceRevolution', 'WaveBox', 'PowerToThePeople']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,#powertothepeople
RealMartyT7,"Houston,Texas",Executive Director NewBlueUSA.  President niteflyermedia.  Pilot. Musician. Political and media consultant.,,24528,5024,39703,False,2025-05-06,elon musk owned companies were facing over 237 billion in potential fines and penalties as of election day 2024 elon bought donald trump for only 288 million today those fines and penalties are all gone so are the inspector generals who investigated spacex tesla and twitter any department that was investigating musk has been emasculated or closed by doge the 237 billion was owed to the american people it was meant to ensure safety and environmental compliance of tesla products and space x rockets how is shutting down investigations against musk by musk not bribery or at the least a massive conflict of interest #demvoice1 #demsunited,"['DemVoice1', 'DemsUnited']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,#demvoice1
RealMartyT7,"Houston,Texas",Executive Director NewBlueUSA.  President niteflyermedia.  Pilot. Musician. Political and media consultant.,,24528,5024,39703,False,2025-05-06,elon musk owned companies were facing over 237 billion in potential fines and penalties as of election day 2024 elon bought donald trump for only 288 million today those fines and penalties are all gone so are the inspector generals who investigated spacex tesla and twitter any department that was investigating musk has been emasculated or closed by doge the 237 billion was owed to the american people it was meant to ensure safety and environmental compliance of tesla products and space x rockets how is shutting down investigations against musk by musk not bribery or at the least a massive conflict of interest #demvoice1 #demsunited,"['DemVoice1', 'DemsUnited']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,#demsunited
